0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:18:22 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:18:22 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:18:22 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:27:43 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6508
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:27:43 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:27:43 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:27:43 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:18 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:18 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:18 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:18 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:36 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:36 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:36 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:36 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 24439
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:37 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:58 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:58 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:58 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:28:58 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:29:04 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [12/Dec/2021:05:29:04 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
