0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:11:52 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:11:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:11:55 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:12:01 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:13:26 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:13:28 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:13:30 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:13:35 +0900] "POST /AJaxJQuery/comment/comment_write.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:50:38 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:50:38 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:50:48 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:50:49 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:50:49 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:51:05 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:56:11 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:56:12 +0900] "GET /AJaxJQuery/comment/comment_list.xml HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:41 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:41 +0900] "GET /AJaxJQuery/comment/comment_list.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:42 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:42 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:44 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:11:59:44 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:12:39:43 +0900] "GET /AJaxJQuery/02_xml/exam05.html HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [21/Oct/2021:12:39:43 +0900] "GET /AJaxJQuery/comment/comment_list.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:12:39:46 +0900] "POST /AJaxJQuery/comment/comment_delete.jsp HTTP/1.1" 200 139
